Palabras Spam No_spam Total
drops 0 1 1
drove 0 2 2
drpd 0 1 1
drug 0 5 5
drugdealer 0 1 1
drugs 0 6 6
drum 0 1 1
drunk 0 2 2
drunkard 0 1 1
drunken 0 1 1
drvgsto 1 0 1
dry 0 4 4
dryer 0 1 1
dub 0 1 1
duchess 1 0 1
ducking 0 1 1
dude 0 16 16
dudes 0 1 1
due 0 2 2
duffer 0 1 1
dumb 0 1 1
dun 0 30 30
dungerees 0 1 1
dunno 0 21 21
duo 0 1 1
durban 0 1 1
durh 0 1 1
during 0 5 5
dusk 0 1 1
dust 0 1 1
dvd 6 1 7
dwn 0 1 1
dying 0 1 1
each 7 3 10
eachother 0 1 1
ear 0 1 1
earlier 0 12 12
earliest 0 1 1
early 0 23 23
earn 0 1 1
earning 0 1 1
ears 0 1 1
earth 0 3 3
easier 0 4 4
easiest 0 1 1
easily 0 1 1
east 0 1 1
eastenders 2 0 2
easter 1 1 2
easy 7 11 18
eat 0 24 24
eatin 0 4 4
eating 0 5 5
ebay 0 2 2
ecstasy 0 1 1
edge 0 1 1
edhae 0 1 1
edison 0 1 1
edition 0 1 1
edrunk 0 1 1
edu 0 2 2
educational 0 1 1
edukkukayee 0 1 1
eerie 4 0 4
eerulli 0 1 1
effect 0 1 1
effects 0 1 1
egbon 0 1 1
egg 0 2 2
eggs 0 1 1
ego 0 1 1
eight 0 2 2
eighth 0 1 1
eightish 0 1 1
eire 2 0 2
either 7 9 16
ela 0 2 2
elaborating 0 1 1
elaine 0 1 1
elama 0 1 1
elaya 0 1 1
eldest 0 1 1
electricity 0 2 2
elephant 0 1 1
elliot 0 1 1
ello 0 1 1
else 1 12 13
elsewhere 0 3 3
elvis 1 0 1
email 1 10 11
emailed 0 1 1
embarassed 0 3 3
embarassing 0 1 1
embarrassed 0 1 1
embassy 0 1 1
emc 1 0 1
emergency 0 1 1
emigrated 0 1 1
employee 0 1 1
employer 0 1 1
empty 0 2 2
enc 0 1 1
end 9 19 28
ended 0 5 5
ending 5 0 5
endof 0 1 1
endowed 0 1 1
ends 3 6 9
enemy 0 2 2
energy 2 3 5
eng 1 0 1
engaged 0 1 1
engalnd 0 1 1
engin 0 1 1
england 3 0 3
english 0 3 3
enjoy 6 17 23
enjoyed 2 2 4
enjoyin 0 1 1
enketa 0 1 1
enough 2 16 18
ente 0 1 1
enter 6 3 9
entered 6 5 11
enters 0 1 1
entertain 0 1 1
entertaining 0 1 1
entire 0 1 1
entirely 0 1 1
entitled 3 0 3
entrepreneurs 0 1 1
entropication 0 1 1
entry 17 0 17
enuff 0 2 2
envelope 2 2 4
environment 0 1 1
envy 0 1 1
ere 0 1 1
ericson 0 1 1
ericsson 0 1 1
erm 0 1 1
erode 0 1 1
err 0 1 1
errors 0 1 1
eruku 0 1 1
erupt 0 1 1
escalator 0 1 1
escape 0 2 2
ese 0 1 1
especially 0 4 4
esplanade 0 2 2
essential 0 2 2
essexcm 2 0 2
establish 0 1 1
etc 5 1 6
ethnicity 0 1 1
euro 5 0 5
eurodisinc 1 0 1
europe 1 1 2
evaluation 0 1 1
evaporated 0 1 1
eve 2 8 10
eveb 0 1 1
even 4 36 40
evening 1 17 18
evenings 0 1 1
event 0 2 2
ever 2 19 21
every 24 21 45
everybody 0 3 3
everyboy 0 1 1
everyday 0 2 2
everyone 2 11 13
everyones 0 1 1
everyso 0 1 1
everythin 0 1 1
everything 0 17 17
everytime 0 1 1
everywhere 0 1 1
evil 0 1 1
evn 0 2 2
evng 0 4 4
evo 0 1 1
evr 0 1 1
evrey 0 1 1
evrydy 0 1 1
exact 0 3 3
exactly 0 4 4
exam 0 6 6
exams 0 1 1
excellent 0 6 6
except 0 4 4
excited 0 1 1
exciting 2 1 3
excuse 0 3 3
excused 0 1 1
excuses 0 1 1
exe 0 1 1
executive 0 2 2
exercise 0 1 1
exeter 0 2 2
exhaust 0 1 1
exhausted 0 3 3
exhibition 0 1 1
exist 0 1 1
exit 1 0 1
exmpel 0 1 1
exorcist 2 0 2
exp 1 0 1
expect 0 3 3
expected 0 1 1
expecting 0 3 3
expensive 0 1 1
experience 0 5 5
experiment 0 1 1
expert 0 1 1
expired 1 0 1
expires 7 0 7
expiry 1 0 1
explain 0 3 3
explicitly 0 1 1
explosive 1 0 1
exposes 0 1 1
express 0 1 1
expression 0 1 1
expressoffer 2 0 2
ext 0 1 1
exterminator 0 1 1
extra 4 4 8
extreme 1 0 1
eye 1 0 1
eyes 0 4 4
fab 0 1 1
faber 0 1 1
face 0 9 9
facebook 0 6 6
fact 1 5 6
factory 0 1 1
faded 0 1 1
faggot 0 1 1
faggy 0 1 1
faglord 0 1 1
failed 0 2 2
fails 0 1 1
fainting 0 1 1
fair 0 2 2
faith 0 1 1
fake 0 1 1
fal 0 1 1
falconerf 0 1 1
fall 1 4 5
fallen 0 1 1
falling 0 2 2
falls 0 2 2
fals 0 1 1
famamus 0 1 1
family 0 12 12
famous 0 1 1
fan 0 2 2
fancies 3 0 3
fancy 8 3 11
fans 1 0 1
fantasies 4 0 4
fantastic 3 2 5
fantasy 3 0 3
far 0 11 11
farm 0 2 2
fast 0 12 12
faster 1 3 4
fastest 1 0 1
fat 0 3 3
fated 0 1 1
father 0 7 7
fathima 0 2 2
fatty 0 1 1
fault 0 5 5
fav 1 1 2
fave 0 3 3
favor 0 2 2
favour 0 3 3
favourite 0 2 2
fear 0 3 3
feathery 0 1 1
feb 1 1 2
february 0 3 3
fed 0 1 1
fedex 0 1 1
feel 0 39 39
feelin 1 0 1
feeling 2 13 15
feelingood 0 1 1
feels 0 6 6
fees 0 1 1
feet 0 2 2
fellow 0 1 1
felt 0 12 12
female 1 1 2
feng 0 1 1
festival 0 1 1
fetch 0 4 4
fetching 0 1 1
fever 0 3 3
few 0 32 32
ffectionate 0 1 1
fffff 0 1 1
ffffffffff 0 1 1
fidalfication 0 1 1
field 0 2 2
fifa 1 0 1
fifteen 0 3 3
fifth 0 1 1
fifty 0 1 1
fight 0 2 2
fighting 0 3 3
fightng 0 3 3
fights 0 1 1
figure 0 6 6
figures 0 2 2
figuring 0 1 1
fil 1 0 1
file 0 3 3
files 0 4 4
fill 0 3 3
filled 0 1 1
filling 0 1 1
fills 0 2 2
film 0 5 5
films 1 1 2
filthy 1 0 1
filthyguys 1 0 1
final 12 2 14
finalise 0 1 1
finally 1 9 10
finance 0 1 1
financial 0 1 1
find 23 33 56
finding 0 1 1
finds 0 1 1
fine 0 32 32
finest 1 0 1
fingers 0 5 5
finish 0 24 24
finished 0 13 13
finishes 0 3 3
finishing 0 3 3
fink 1 0 1
finn 0 1 1
fire 0 1 1
firefox 0 1 1
fireplace 0 1 1
fires 0 1 1
first 4 39 43
fish 0 3 3
fishhead 0 1 1
fit 1 1 2
five 3 2 5
fix 0 2 2
fixed 1 4 5
fixedline 2 0 2
fixes 0 1 1
flag 1 0 1
flaked 0 1 1
flaky 0 1 1
flame 0 1 1
flash 0 2 2
flat 0 3 3
fletcher 0 1 1
flies 0 1 1
flight 0 2 2
flights 5 0 5
flim 0 1 1
flip 0 1 1
flippin 0 1 1
flirt 4 1 5
flirting 1 0 1
flirtparty 1 0 1
floating 0 1 1
floor 0 3 3
flow 0 1 1
flower 2 2 4
flowers 1 0 1
flowing 0 2 2
fluids 0 1 1
flung 0 1 1
flute 0 1 1
fly 0 1 1
flying 0 1 1
flyng 1 0 1
fml 2 2 4
foley 1 0 1
folks 1 0 1
follow 2 1 3
followed 2 0 2
followin 0 1 1
following 3 1 4
fond 0 1 1
fondly 0 1 1
fone 2 4 6
fones 1 0 1
food 0 15 15
fool 0 2 2
fooled 0 1 1
fools 0 1 1
foot 0 1 1
football 1 0 1
footbl 0 1 1
footie 0 1 1
footprints 0 1 1
footy 1 0 1
for 107 286 393
force 0 3 3
forced 0 1 1
foreign 0 2 2
forever 0 6 6
forfeit 0 1 1
forget 2 10 12
forgets 0 2 2
forgive 0 1 1
forgiven 0 1 1
forgot 0 20 20
forgotten 0 1 1
form 0 2 2
formal 0 1 1
format 0 1 1
forum 0 2 2
forward 0 4 4
forwarded 4 4 8
forwarding 0 1 1
found 0 10 10
foundurself 0 1 1
four 1 2 3
fourth 0 1 1
fox 0 1 1
fps 0 1 1
fraction 1 0 1
fran 0 3 3
frank 0 1 1
franyxxxxx 0 1 1
frauds 0 2 2
freak 0 3 3
freaked 0 1 1
freaky 0 1 1
fredericksburg 0 1 1
free 113 30 143
freedom 0 1 1
freefone 2 0 2
freek 0 1 1
freely 0 1 1
freemsg 10 0 10
freephone 5 0 5
freezing 0 3 3
fren 0 4 4
french 0 1 1
frens 0 5 5
fresh 0 1 1
freshers 0 1 1
fret 0 1 1
fri 1 7 8
friday 0 12 12
fridge 0 1 1
friend 6 22 28
friends 4 31 35
friendsare 0 1 1
friendship 0 14 14
friendships 0 1 1
fring 0 1 1
fringe 0 2 2
frm 0 8 8
frnd 1 4 5
frnds 0 7 7
frndship 0 3 3
frndshp 0 1 1
frndsship 0 1 1
frndz 0 1 1
frnt 0 1 1
fro 0 1 1
frog 1 0 1
from 77 93 170
fromm 2 0 2
front 0 1 1
frosty 0 1 1
frwd 0 1 1
frying 0 2 2
fuck 0 17 17
fuckin 0 2 2
fucking 0 10 10
fucks 0 1 1
fudge 0 1 1
fuelled 0 1 1
fujitsu 0 2 2
ful 0 1 1
fulfil 0 1 1
full 0 14 14
fullonsms 0 3 3
fun 5 12 17
function 0 1 1
funky 1 0 1
funny 0 7 7
funs 0 1 1
furniture 0 1 1
further 2 1 3
fusion 0 1 1
future 2 2 4
fwiw 0 1 1
fyi 0 2 2
gage 1 0 1
gained 0 1 1
gal 0 3 3
galileo 0 1 1
gals 0 4 4
game 2 8 10
games 8 0 8
gamestar 1 0 1
gandhipuram 0 1 1
ganesh 0 2 2
gang 0 2 2
gap 0 3 3
gaps 0 2 2
garage 0 2 2
garbage 0 1 1
gardener 0 3 3
gari 0 1 1
gary 0 2 2
gas 0 8 8
gate 0 1 1
gauge 0 1 1
gauth 0 2 2
gauti 0 1 1
gave 0 5 5
gay 4 1 5
gayle 0 1 1
gaytextbuddy 2 0 2
gaze 0 1 1
gbp 9 0 9
gdeve 0 1 1
gee 0 5 5
geeee 0 3 3
geeeee 0 1 1
gei 0 1 1
gender 2 0 2
generally 0 2 2
genius 0 2 2
gent 2 0 2
gentle 0 1 1
gentleman 0 3 3
gently 0 3 3
genuine 2 0 2
george 2 0 2
gep 0 1 1
germany 1 0 1
get 53 171 224
getha 0 1 1
gets 0 7 7
getsleep 0 1 1
getstop 2 0 2
gettin 2 6 8
getting 4 33 37
getzed 7 0 7
geva 0 1 1
ghodbandar 0 1 1
ghost 2 0 2
gibbs 0 2 2
gibe 0 1 1
gift 12 5 17
gifted 0 1 1
gifts 0 1 1
giggle 0 1 1
gimme 0 2 2
gin 0 2 2
girl 4 16 20
girlfrnd 0 1 1
girlie 0 1 1
girls 2 7 9
gist 0 1 1
giv 0 1 1
give 5 55 60
given 0 3 3
gives 0 4 4
giving 0 4 4
glad 0 5 5
glasgow 0 1 1
glass 0 1 1
global 1 0 1
glorious 0 1 1
glory 0 1 1
gmw 1 0 1
gnt 0 1 1
gnun 0 1 1
goal 0 1 1
goals 1 0 1
gobi 0 1 1
god 0 26 26
gods 0 1 1
goes 0 19 19
goggles 0 1 1
goin 0 13 13
going 4 113 117
gold 1 1 2
golden 0 1 1
gon 0 1 1
gona 0 2 2
gone 0 10 10
gonna 0 30 30
gonnamissu 0 1 1
good 8 142 150
goodevening 0 1 1
goodies 1 0 1
goodmate 0 1 1
goodmorning 0 10 10
goodnight 0 5 5
goodnite 0 1 1
goodnoon 0 2 2
goodo 0 2 2
goods 0 1 1
goodtime 0 1 1
google 0 4 4
gopalettan 0 1 1
gorgeous 0 3 3
gosh 0 1 1
gossip 1 1 2
got 4 141 145
gota 0 1 1
gotany 0 1 1
gotbabes 1 0 1
goten 1 0 1
goto 4 1 5
gotta 0 9 9
gotten 0 2 2
gotto 1 0 1
govt 0 3 3
gpu 0 2 2
grab 0 1 1
grace 0 1 1
grahmbell 0 1 1
gram 0 2 2
grams 0 1 1
grand 0 3 3
grandmas 0 1 1
granite 1 0 1
granted 0 1 1
grateful 0 1 1
grave 0 1 1
gravel 1 0 1
gravity 0 4 4
gray 0 1 1
great 5 64 69
greatness 0 1 1
green 0 4 4
greet 1 2 3
greeting 0 1 1
greetings 0 2 2
grief 0 1 1
grinder 0 1 1
grins 0 6 6
grinule 0 1 1
grl 0 1 1
groovy 0 1 1
groovying 0 1 1
ground 0 1 1
group 0 4 4
grow 0 1 1
growing 1 0 1
grown 0 1 1
grr 0 1 1
grumpy 0 1 1
gthr 0 1 1
gua 0 1 1
guarantee 1 0 1
guaranteed 30 0 30
gud 0 34 34
gudni 0 1 1
gudnite 0 3 3
guess 5 24 29
guesses 0 1 1
guessin 0 1 1
guide 0 4 4
guild 0 1 1
guilty 0 1 1
guitar 0 1 1
gurl 0 1 1
guy 0 14 14
guys 4 20 24
gving 0 1 1
gym 0 6 6
gymnastics 0 1 1
habba 0 1 1
habit 0 1 1
hack 1 0 1
had 8 51 59
hadn 0 1 1
haf 0 12 12
haha 0 36 36
hahaha 0 1 1
hai 0 3 3
hail 0 1 1
hair 0 14 14
hairdressers 0 1 1
half 7 20 27
hall 0 1 1
halla 0 1 1
hallaq 0 2 2
halloween 2 0 2
hand 0 8 8
handed 0 1 1
handing 0 1 1
handle 0 1 1
hands 0 4 4
handset 1 0 1
handsome 0 1 1
handsomes 0 1 1
hang 0 2 2
hanger 0 1 1
hangin 0 1 1
hanging 0 2 2
hanks 0 1 1
hanuman 0 1 1
hanumanji 0 1 1
happen 0 13 13
happend 0 3 3
happened 0 11 11
happenin 0 1 1
happening 0 6 6
happens 0 3 3
happier 0 1 1
happily 0 1 1
happiness 0 8 8
happy 0 61 61
hard 3 7 10
hardcore 2 1 3
hardest 0 1 1
hardly 0 2 2
harish 0 1 1
harri 0 1 1
harry 1 0 1
has 18 49 67
hasn 0 3 3
hasnt 0 1 1
hate 0 3 3
haul 0 1 1
hav 0 17 17
hava 1 0 1
havbeen 0 1 1
have 82 272 354
havebeen 0 1 1
haven 1 15 16
havent 0 11 11
haventcn 0 1 1
havin 1 2 3
having 0 30 30
havnt 0 2 2
hcl 0 1 1
hdd 0 1 1
head 0 13 13
headache 0 3 3
headin 0 2 2
heading 0 2 2
heads 0 2 2
headstart 0 1 1
heal 0 1 1
healer 0 1 1
hear 2 20 22
heard 3 5 8
hearing 0 1 1
heart 2 24 26
hearts 0 2 2
heavy 0 6 6
hee 0 9 9
heehee 0 1 1
height 0 4 4
held 1 1 2
helen 1 1 2
hell 0 3 3
hella 0 2 2
hello 4 28 32
helloooo 0 1 1
help 17 20 37
helpful 0 1 1
helpline 2 0 2
hen 0 1 1
hence 0 2 2
hep 0 1 1
her 2 58 60
here 7 72 79
hero 0 1 1
heron 0 1 1
herself 2 0 2
hes 0 2 2
hesitate 0 1 1
hesitation 0 1 1
hex 0 1 1
hey 5 56 61
hhahhaahahah 0 1 1
hide 1 0 1
hiding 0 1 1
high 2 4 6
hilarious 0 1 1
hill 0 2 2
hills 0 1 1
hillsborough 0 1 1
him 1 62 63
himself 0 1 1
himso 0 1 1
hint 0 2 2
hip 0 3 3
his 0 35 35
history 0 1 1
hit 2 7 9
hitter 0 1 1
hittng 0 1 1
hiya 0 4 4
hlp 1 0 1
hme 0 1 1
hmm 0 7 7
hmmm 0 10 10
hmv 3 0 3
hockey 1 0 1
hogidhe 0 1 1
hogli 0 1 1
hogolo 0 1 1
hol 1 1 2
hold 0 8 8
holder 3 0 3
holding 0 4 4
hole 0 1 1
holiday 18 8 26
holla 0 3 3
hollalater 0 1 1
hols 2 1 3
holy 0 1 1
home 2 94 96
homeowners 3 0 3
hon 0 2 2
honest 0 1 1
honestly 0 1 1
honesty 0 1 1
honey 0 3 3
honeybee 0 2 2
honeymoon 0 1 1
hook 0 4 4
hop 0 4 4
hope 4 65 69
hoped 0 1 1
hopeful 0 1 1
hopefully 0 4 4
hopes 0 1 1
hoping 0 7 7
hor 0 1 1
horniest 1 0 1
horny 3 0 3
horo 1 0 1
horrible 0 3 3
horse 0 1 1
hospital 0 4 4
hospitals 0 2 2
host 0 1 1
hostel 0 3 3
hot 10 5 15
hotel 1 2 3
hotels 1 0 1
hotmail 0 1 1
hotmix 1 0 1
hottest 1 0 1
hour 0 18 18
hourish 0 1 1
hours 2 11 13
house 0 27 27
houseful 0 1 1
housework 0 1 1
how 6 182 188
howard 0 2 2
howda 0 1 1
howdy 0 1 1
however 1 6 7
hows 0 5 5
howu 0 1 1
howz 0 5 5
hper 0 1 1
hrishi 0 1 1
hrs 18 6 24
hster 0 1 1
http 11 0 11
huai 0 1 1
hubby 1 0 1
hug 0 2 2
huge 0 1 1
hugh 0 1 1
hugs 0 1 1
huh 0 11 11
huiming 0 1 1
hum 0 1 1
humans 0 1 1
hun 0 3 3
hundred 0 2 2
hundreds 0 1 1
hungover 0 1 1
hungry 1 8 9
hunks 1 0 1
hunny 0 4 4
hunt 0 1 1
hunting 0 1 1
hurricanes 0 1 1
hurried 0 2 2
hurry 1 3 4
hurt 0 13 13
hurting 0 2 2
hurts 0 3 3
husband 0 1 1
hussey 0 1 1
hvae 1 0 1
hyde 0 2 2
hype 0 1 1
hypertension 0 1 1
hypotheticalhuagauahahuagahyuhagga 0 1 1
iam 0 5 5
ias 0 1 1
ibh 1 0 1
ibhltd 2 0 2
ibiza 2 0 2
ibm 0 1 1
ibuprofens 0 1 1
iccha 0 1 1
ice 1 4 5
icic 0 1 1
icicibank 0 2 2
icky 0 1 1
icmb 1 0 1
icon 0 1 1
idc 0 1 1
idea 0 7 7
ideal 0 2 2
ideas 0 2 2
identifier 7 0 7
idew 1 0 1
idiot 1 1 2
idk 0 3 3
idps 0 1 1
idu 0 1 1
iff 0 1 1
ifink 0 1 1
ignorant 0 1 1
ignore 0 2 2
ihave 0 1 1
ijust 0 1 1
ikea 0 2 2
ikno 0 1 1
iknow 0 1 1
ill 1 25 26
illspeak 0 1 1
ilol 0 1 1
image 0 1 1
images 0 1 1
imagination 0 1 1
imagine 0 4 4
imf 0 1 1
img 1 0 1
imin 0 1 1
imma 0 4 4
immediately 4 5 9
immunisation 0 1 1
imp 0 2 2
impatient 0 2 2
important 5 7 12
importantly 0 1 1
imposed 0 1 1
impossible 0 2 2
imposter 0 1 1
impress 0 1 1
impressed 0 1 1
impressively 0 1 1
improve 0 1 1
improved 2 0 2
imprtant 0 1 1
inc 4 0 4
inch 0 2 2
inches 0 3 3
incident 0 3 3
include 1 1 2
includes 0 1 1
including 0 5 5
inclusive 3 0 3
incomm 0 1 1
inconsiderate 0 2 2
incorrect 1 0 1
inde 0 1 1
indeed 0 1 1
independence 0 1 1
india 0 8 8
indian 0 4 4
indians 0 1 1
individual 0 1 1
indyarocks 0 1 1
inever 0 1 1
infernal 0 1 1
info 13 1 14
inform 0 1 1
information 3 0 3
informed 2 2 4
infra 0 1 1
infront 0 1 1
ing 0 2 2
ingredients 0 1 1
initiate 0 1 1
ink 0 1 1
inlude 0 1 1
inner 0 1 1
innings 0 2 2
innocent 0 1 1
innu 0 1 1
inperialmusic 0 1 1
inr 0 2 2
insects 0 1 1
insha 0 1 1
inshah 0 1 1
inside 0 4 4
inspection 0 1 1
inst 0 1 1
install 1 0 1
installing 0 1 1
instant 1 0 1
instantly 1 1 2
instead 0 4 4
instituitions 0 3 3
instructions 2 0 2
insurance 0 2 2
intelligent 0 3 3
intend 0 1 1
intention 0 1 1
intentions 0 1 1
interest 0 2 2
interested 1 3 4
interesting 0 4 4
interflora 1 0 1
internet 1 2 3
interview 0 4 4
interviews 0 1 1
interviw 0 1 1
intha 0 1 1
into 5 21 26
intrepid 0 1 1
intro 0 3 3
intrude 0 1 1
invaders 1 0 1
invest 0 2 2
investigate 0 1 1
invitation 0 1 1
invite 0 3 3
invited 3 6 9
inviting 1 0 1
invnted 0 1 1
invoices 0 1 1
involve 0 1 1
iouri 0 1 1
ipaditan 0 1 1
ipads 0 1 1
iphone 0 1 1
ipod 8 0 8
iraq 0 1 1
irene 0 1 1
iron 0 1 1
ironing 0 1 1
irritates 0 1 1
irritating 0 1 1
isaiah 0 1 1
iscoming 0 1 1
ish 0 11 11
ishtamayoo 0 1 1
islands 1 1 2
isn 0 10 10
isnt 0 3 3
issue 0 2 2
issues 1 1 2
isv 0 1 1
italian 0 3 3
itcould 1 0 1
items 0 1 1
iter 0 1 1
itna 0 1 1
itried 0 1 1
its 4 127 131
itself 0 9 9
itwhichturnedinto 0 1 1
itxt 0 1 1
itz 0 1 1
ivatte 0 1 1
ive 0 5 5
iwana 0 1 1
iwas 0 1 1
izzit 0 3 3
jabo 0 1 1
jack 0 1 1
jacket 0 1 1
jackpot 1 0 1
jackson 0 1 1
jada 0 3 3
jaklin 0 1 1
james 1 1 2
jamster 2 0 2
jamz 1 0 1
jan 0 3 3
janarige 0 1 1
jane 1 1 2
janinexx 1 0 1
january 1 5 6
janx 0 1 1
jap 0 1 1
japanese 0 1 1
jas 0 1 1
jason 0 1 1
java 2 0 2
jay 0 11 11
jaykwon 0 1 1
jazz 0 3 3
jealous 0 2 2
jeans 0 2 2
jeetey 0 1 1
jelly 0 1 1
jen 0 3 3
jenne 0 1 1
jenny 0 2 2
jenxxx 0 1 1
jeremiah 0 1 1
jeri 1 0 1
jerry 0 1 1
jersey 1 0 1
jess 0 2 2
jesus 0 3 3
jet 0 1 1
jez 0 1 1
jhl 3 0 3
jia 0 1 1
jiayin 0 1 1
jide 0 1 1
jiu 0 4 4
jjc 0 1 1
joanna 0 1 1
job 0 32 32
jobs 0 1 1
jobyet 0 1 1
jod 0 1 1
jog 0 1 1
john 0 7 7
join 12 7 19
joined 2 5 7
joining 0 1 1
joke 0 4 4
jokes 0 3 3
jokin 0 2 2
joking 0 2 2
jolly 0 1 1
jolt 0 2 2
jon 0 1 1
jones 0 1 1
jontin 0 1 1
jordan 4 0 4
jorge 1 0 1
jos 0 1 1
jot 0 1 1
journey 0 2 2
joy 0 6 6
joys 0 1 1
jsco 1 0 1
jst 1 1 2
jstfrnd 0 2 2
jsut 0 1 1
juan 0 1 1
juicy 0 1 1
jules 0 1 1
july 1 1 2
june 1 2 3
jungle 0 1 1
junna 0 1 1
jurong 1 0 1
jus 0 20 20
just 57 187 244
justbeen 0 1 1
justify 0 1 1
justthought 0 1 1
juz 0 12 12
kaaj 0 1 1
kadeem 0 3 3
kaiez 0 1 1
kaitlyn 0 1 1
kalainar 0 1 1
kalisidare 0 1 1
kallis 0 7 7
kalstiya 0 1 1
kama 0 1 1
kanagu 0 1 1
kanji 0 1 1
kano 0 3 3
karaoke 1 0 1
karo 0 1 1
kate 0 6 6
katexxx 0 1 1
kay 0 2 2
kbsubject 1 0 1
keen 0 1 1
keep 4 35 39
keeping 0 3 3
keeps 0 1 1
kegger 0 2 2
keluviri 0 1 1
ken 1 0 1
kent 0 1 1
kept 3 2 5
kerala 0 4 4
keralacircle 0 2 2
keris 0 1 1
kettoda 0 4 4
key 0 3 3
keys 0 2 2
keyword 1 0 1
kicchu 0 1 1
kick 2 2 4
kickboxing 0 1 1
kickoff 2 0 2
kicks 0 2 2
kid 0 1 1
kidding 0 2 2
kids 0 5 5
kidz 0 3 3
kiefer 1 0 1
killed 0 1 1
killing 0 2 2
kills 0 2 2
kilos 0 1 1
kind 0 10 10
kinda 1 7 8
kindly 0 3 3
king 3 2 5
kingdom 1 0 1
kisi 0 1 1
kiss 0 16 16
kisses 0 2 2
kissing 0 1 1
kitty 0 1 1
knackered 0 2 2
knee 0 1 1
knew 0 7 7
knickers 1 0 1
knock 1 0 1
knocking 0 1 1
know 16 153 169
knowing 0 1 1
knows 1 8 9
knw 0 6 6
kochi 0 1 1
kodstini 0 1 1
kodthini 0 1 1
kolathupalayam 0 1 1
konw 0 1 1
korche 0 1 1
korean 0 1 1
korli 0 1 1
korte 0 1 1
ktv 0 1 1
kuch 0 1 1
kudi 0 2 2
kusruthi 0 3 3
kvb 0 1 1
lab 0 2 2
labor 0 1 1
lac 0 1 1
lacking 0 1 1
lacs 0 2 2
laden 0 1 1
ladies 2 1 3
lady 0 6 6
lag 0 1 1
lager 0 1 1
laid 3 0 3
lakhs 0 1 1
lambda 0 1 1
land 14 0 14
landline 21 1 22
landlineonly 1 0 1
lands 11 0 11
lane 0 1 1
language 0 1 1
lap 0 1 1
lapdancer 1 0 1
laptop 0 10 10
lar 0 25 25
lara 0 1 1
large 1 0 1
largest 3 0 3
lark 0 1 1
lasagna 0 1 1
last 8 34 42
lastest 1 0 1
lasting 0 1 1
late 1 41 42
lately 0 1 1
latelyxxx 0 1 1
later 0 73 73
latest 19 3 22
latests 1 0 1
latr 0 4 4
laugh 0 5 5
laughed 0 2 2
laughing 0 3 3
laughs 0 1 1
laundry 0 1 1
laurie 0 1 1
law 0 1 1
laxinorficated 0 1 1
laying 0 1 1
lays 0 2 2
lazy 0 7 7
lccltd 1 0 1
ldew 7 0 7
ldn 7 0 7
ldnw 3 0 3
lead 0 4 4
leadership 1 0 1
leads 0 1 1
leafcutter 0 1 1
league 0 1 1
leanne 0 1 1
learn 0 4 4
learned 0 1 1
least 0 8 8
leave 2 31 33
leaves 0 8 8
leaving 0 10 10
lect 0 6 6
lecture 0 4 4
left 0 17 17
leftovers 0 1 1
legal 0 2 2
legs 0 1 1
leh 0 15 15
lei 0 12 12
lekdog 0 1 1
lemme 0 3 3
length 0 1 1
lennon 0 1 1
leo 0 1 1
leona 0 4 4
leonardo 0 1 1
les 0 1 1
less 0 6 6
lesson 0 11 11
lessons 0 7 7
let 4 47 51
lets 0 9 9
letter 0 3 3
letters 0 2 2
level 0 1 1
liao 0 22 22
libertines 1 0 1
library 0 6 6
lick 0 1 1
licks 0 2 2
lido 0 3 3
lie 0 4 4
lies 0 1 1
life 3 37 40
lifebook 0 1 1
lifeis 0 1 1
lifetime 2 1 3
lifpartnr 0 2 2
lift 0 5 5
lifted 0 1 1
lifting 0 1 1
light 0 11 11
lighters 0 1 1
lightly 0 1 1
lik 0 2 2
like 8 136 144
liked 0 4 4
likely 0 3 3
likes 0 2 2
likeyour 0 1 1
liking 0 1 1
lil 0 2 2
lily 2 0 2
lim 0 1 1
limits 0 1 1
lindsay 0 1 1
line 23 5 28
lined 0 1 1
linerental 4 0 4
lines 1 1 2
lingerie 1 0 1
lingo 0 1 1
link 3 1 4
links 0 1 1
linux 0 1 1
lionm 1 0 1
lionp 1 0 1
lions 1 0 1
lip 0 1 1
lipo 0 1 1
liquor 0 1 1
list 0 4 4
listen 2 5 7
listened 0 1 1
listener 0 1 1
listening 1 3 4
listn 0 1 1
little 1 16 17
live 17 13 30
lived 0 1 1
liverpool 2 0 2
lives 0 2 2
living 1 2 3
lkpobox 1 0 1
llc 1 0 1
llspeak 0 1 1
lmao 0 5 5
lnly 1 0 1
loads 1 8 9
loan 3 5 8
loans 0 1 1
local 4 0 4
location 0 2 2
locations 4 0 4
lock 0 1 1
locks 0 1 1
lodge 0 1 1
lodging 0 1 1
log 3 6 9
login 3 2 5
logo 4 0 4
logoff 0 1 1
logos 2 0 2
loko 0 1 1
lol 0 46 46
lolnice 0 1 1
lololo 0 1 1
london 1 1 2
lonely 1 2 3
long 0 24 24
longer 0 3 3
look 1 15 16
lookatme 1 0 1
looked 0 1 1
lookin 1 2 3
looking 6 14 20
looks 0 6 6
lool 0 1 1
loose 0 2 2
lor 0 91 91
lord 1 0 1
lose 1 7 8
losers 0 1 1
loses 0 2 2
losing 0 2 2
lost 2 9 11
lot 0 23 23
lotr 1 1 2
lots 1 12 13
lotsly 0 1 1
lotta 0 1 1
loud 0 2 2
lounge 0 1 1
lousy 0 3 3
